name,level,faction,active,start_date,profile_pic
dantastic,170,Swarm,Retired,2013-04-28,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile38236.jpg?refresh=1055
bouse22,163,Swarm,Retired,2013-04-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile38624.jpg?refresh=0308
SaltyBallz,144,Legion,Retired,2013-10-28,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile109872.jpg?refresh=0851
BTOLEE,161,Swarm,Retired,2013-05-14,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile44950.jpg?refresh=1218
misterbig,165,Legion,Retired,2013-06-13,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile57738.jpg?refresh=0338
Myzary,102,Swarm,Retired,2013-06-18,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile59277.jpg?refresh=0816
AtomicFireMedic,163,Swarm,Retired,2013-12-05,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile118815.jpg?refresh=0203
DrClaw,146,Swarm,Retired,2013-04-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile38728.jpg?refresh=1259
Timinator2010,100,Legion,Retired,2014-01-31,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile127850.jpg?refresh=0506
Evermor,195,Legion,Active,2013-07-10,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile70494.jpg?refresh=0246
medic,157,Faceless,Retired,2012-07-09,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile2536.jpg?refresh=0146
Marthos,223,Legion,Active,2013-05-17,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile46300.jpg?refresh=1202
PuvaPunk,100,Swarm,Retired,2013-05-14,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile44907.jpg?refresh=0621
ShankMyWedge,165,Swarm,Retired,2013-12-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile118169.jpg?refresh=0940
Bigmigilicuty,166,Legion,Retired,2013-12-23,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultLegionProfilePic.png
Christian08,109,Faceless,Retired,2013-05-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile40521.jpg?refresh=1105
DingleBeard,129,Swarm,Retired,2014-01-31,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile127814.jpg?refresh=0915
two80mine,119,Swarm,Retired,2014-01-10,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile125083.jpg?refresh=0813
LoneWanderer,138,Swarm,Retired,2013-06-05,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile55503.jpg?refresh=0258
TurkishSnowcone,100,Legion,Retired,2013-12-20,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile122207.jpg?refresh=0948
Pharaoh007,101,Swarm,Retired,2014-02-05,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile128486.jpg?refresh=0506
spreadeagle,114,Legion,Retired,2013-10-13,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile105932.jpg?refresh=1110
bigStick,100,Swarm,Retired,2014-02-28,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultSwarmProfilePic.png
jbonez,101,Swarm,Retired,2013-07-08,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile69966.jpg?refresh=0102
SavvyTurnip,160,Swarm,Fallen,2013-05-14,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile45193.jpg?refresh=1132
SkidMarks,100,Swarm,Retired,2014-03-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultSwarmProfilePic.png
DodgyArab,209,Faceless,Active,2013-11-14,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile113941.jpg?refresh=1201
Warhobbit,159,Faceless,Retired,2013-11-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile115414.jpg?refresh=0750
Squeaker,177,Faceless,Retired,2013-11-19,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile115150.jpg?refresh=0141
MrPants,124,Faceless,Retired,2013-12-31,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile123808.jpg?refresh=0927
LT_Smash,194,Legion,Retired,2013-09-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile94014.jpg?refresh=1134
Maj_Smash,159,Faceless,Retired,2013-09-09,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile95448.jpg?refresh=0247
jamiec,158,Faceless,Missing in Action,2013-12-31,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile123765.jpg?refresh=1240
bodach,168,Faceless,Retired,2014-01-22,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile126729.jpg?refresh=0621
Mareo,105,Legion,Retired,2013-02-28,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile22140.jpg?refresh=0619
Milby,100,Faceless,Retired,2014-01-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile124227.jpg?refresh=0951
burn_cycle,199,Faceless,Retired,2013-11-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile110570.jpg?refresh=0851
tolo,152,Faceless,Retired,2013-09-28,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile100435.jpg?refresh=1013
GrandAtrocity,117,Faceless,Retired,2013-11-14,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile113944.jpg?refresh=0854
ukvlad,207,Legion,Active,2012-12-30,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile12228.jpg?refresh=0820
Simi,193,Faceless,Retired,2013-04-20,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile34597.jpg?refresh=0448
Hells,209,Legion,Retired,2013-07-22,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile75805.jpg?refresh=0716
Balo,229,Legion,Active,2013-05-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile40165.jpg?refresh=0922
Krondell,101,Faceless,Retired,2013-11-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile114224.jpg?refresh=0645
vinmspoon,100,Faceless,Retired,2013-11-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultFacelessProfilePic.png
ChippedChocolate,100,Legion,Retired,2013-07-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile78251.jpg?refresh=0857
pivo,164,Swarm,Active,2012-04-24,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile1839.jpg?refresh=0849
SolaAesir,123,Swarm,Retired,2012-03-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile715.jpg?refresh=0528
Badman1,174,Legion,Retired,2013-04-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile29717.jpg?refresh=1220
jvmuskie,225,Legion,Active,2013-03-10,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile23799.jpg?refresh=0256
root007,100,Swarm,Retired,2013-10-18,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile107149.jpg?refresh=1238
lightsabersd,177,Swarm,Retired,2013-06-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile55018.jpg?refresh=1216
chelbs,100,Swarm,Retired,2013-10-10,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile105094.jpg?refresh=0312
SonicQ,213,Swarm,Active,2013-12-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile123281.jpg?refresh=0451
Parts,162,Legion,Retired,2012-09-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile5700.jpg?refresh=0124
olegm,167,Swarm,Active,2012-08-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile4034.jpg?refresh=1200
Lootefisk,105,Swarm,Retired,2014-02-02,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile128123.jpg?refresh=0417
Nware2,117,Swarm,Retired,2012-09-28,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile6382.jpg?refresh=1200
tell,100,Swarm,Retired,2013-08-11,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile83864.jpg?refresh=0115
heavyb,183,Legion,Active,2012-04-26,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile1869.jpg?refresh=1134
OpenHearts,187,Swarm,Retired,2013-04-26,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile37139.jpg?refresh=0307
CasheFinder,100,Swarm,Retired,2013-10-12,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile105463.jpg?refresh=0411
tmdkiss,100,Swarm,Retired,2013-03-17,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile25276.jpg?refresh=0146
mdubs,100,Swarm,Retired,2013-11-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile110981.jpg?refresh=0402
dgold,107,Legion,Retired,2013-05-17,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile46291.jpg?refresh=0159
gophersbot,100,Swarm,Retired,2014-02-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultSwarmProfilePic.png
blackninja,100,Swarm,Retired,2013-03-17,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultSwarmProfilePic.png
JavaLamer,100,Swarm,Retired,2012-10-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultSwarmProfilePic.png
PeoriaFalcon,210,Swarm,Active,2013-09-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile93666.jpg?refresh=0114
Mordance,164,Swarm,Active,2013-05-17,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile46492.jpg?refresh=0437
spec1,100,Swarm,Retired,2013-12-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile118252.jpg?refresh=1241
Silver,145,Legion,On Leave,2012-03-01,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile711.jpg?refresh=0147
NanoChampion,121,Swarm,Retired,2013-01-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile15961.jpg?refresh=0910
April,108,Legion,Retired,2013-09-24,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile99005.jpg?refresh=0415
SevenLeafSage42,196,Swarm,Missing in Action,2013-12-19,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile121990.jpg?refresh=0304
sokmonkey,161,Faceless,Retired,2013-11-06,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile111527.jpg?refresh=0444
cranky,100,Swarm,Retired,2013-11-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/DefaultSwarmProfilePic.png
xdog,100,Swarm,Retired,2014-01-03,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile124122.jpg?refresh=0207
RedOctober,211,Swarm,Active,2013-03-29,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile27598.jpg?refresh=0534
SourCrouse,164,Swarm,Retired,2013-09-04,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile93965.jpg?refresh=0548
PotterRV,144,Swarm,Retired,2013-07-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile77906.jpg?refresh=0653
Griflet,100,Swarm,Retired,2013-12-30,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile123636.jpg?refresh=0257
do0m_blade,100,Swarm,Retired,2014-01-27,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile127297.jpg?refresh=1043
marinazzio,105,Swarm,Retired,2013-10-21,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile108178.jpg?refresh=0940
Mavlin,181,Swarm,Retired,2013-12-15,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile121462.jpg?refresh=0934
mazay,200,Faceless,Missing in Action,2013-04-18,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile34105.jpg?refresh=0131
TellBro,165,Faceless,Retired,2013-05-16,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile46106.jpg?refresh=0924
Shmyshuk,91,Swarm,Retired,2014-02-23,https://qonqrstorageeast.blob.core.windows.net/playerimages/profile131827.jpg?refresh=0852
