ZoneId,Description,RegionId,CountryId,UtmGrid,GridRef,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude
2546579,"Blumberg",713,57,"33U","33U1H4S4Q",2,2020-06-10 12:53:50.5930000,0,429220,1034,2020-12-15 00:01:06.0030000,52.602940,13.617980
1901218,"Springvale",3585,233,"18S","18S1H1S3Q",3,2010-01-01 00:00:00.0000000,517,0,1577897,2020-12-15 00:01:38.3830000,38.999280,-77.313590
1902975,"Deanwood",3585,233,"18S","18S1H1S1Q",3,2014-05-22 20:47:19.2300000,517,0,1895976,2020-12-15 00:03:32.3330000,39.029550,-77.304980
229651,"Boa Viagem",361,31,"25L","25L1H1S2Q",3,2015-07-22 16:09:14.5300000,0,0,437711,2020-12-15 00:04:35.1330000,-8.116670,-34.883330
230422,"Pina",361,31,"25L","25L1H1S2Q",3,2018-09-03 10:32:50.1230000,1093,0,95916,2020-12-15 00:04:38.9200000,-8.100000,-34.883330
231671,"Sao Jose",361,31,"25L","25L1H1S2Q",3,2018-09-02 12:10:20.1900000,0,0,103392,2020-12-15 00:04:42.8700000,-8.070830,-34.883330
231843,"Santo Antonio",361,31,"25L","25L1H1S2Q",3,2013-05-20 12:33:01.8800000,0,0,362017,2020-12-15 00:04:49.9170000,-8.066670,-34.880560
232400,"Recife",361,31,"25L","25L1H1S2Q",3,2015-08-04 12:20:45.5200000,0,180,908178,2020-12-15 00:04:54.9530000,-8.053890,-34.881110
232825,"Gracas",361,31,"25L","25L1H1S2Q",3,2013-05-20 02:00:06.6200000,0,0,776777,2020-12-15 00:05:01.9700000,-8.044360,-34.899360
233203,"Casa Forte",361,31,"25L","25L1H1S2Q",3,2014-03-22 22:38:55.4570000,0,0,1130709,2020-12-15 00:05:06.4500000,-8.033650,-34.918970
233233,"Apipucos",361,31,"25L","25L1H1S2Q",3,2013-05-20 01:57:24.3900000,0,0,1022267,2020-12-15 00:05:11.0930000,-8.033330,-34.933330
1570432,"Scottsdale",3572,233,"12S","12S2H5S1Q",2,2014-08-24 19:11:37.0170000,0,31741813,2844,2020-12-15 00:08:23.1000000,33.509210,-111.899030
2233203,"Brusimpiano",1375,110,"32T","32T1H5S1Q",1,2020-09-26 12:16:30.9400000,1823,0,994,2020-12-15 00:09:21.9300000,45.944680,8.889530
1876836,"Walsh Station",3567,233,"10S","10S1H3S3Q",2,2012-10-01 17:57:52.3330000,0,3331671,0,2020-12-15 00:14:28.6130000,38.528800,-121.334670
1903098,"Leighs",3585,233,"18S","18S1H1S1Q",3,2013-09-02 15:33:00.0400000,517,0,1573541,2020-12-15 00:15:44.4270000,39.032330,-77.341100
1902092,"Herndon Junction",3585,233,"18S","18S1H1S1Q",3,2013-08-07 18:59:03.5300000,517,0,1562213,2020-12-15 00:15:48.2330000,39.014280,-77.370820
1903523,"Sugarland Run",3585,233,"18S","18S1H1S1Q",3,2013-06-29 12:38:48.0070000,517,0,2026867,2020-12-15 00:15:51.9070000,39.037610,-77.375260
2144184,"Enrose",3573,233,"11T","11T2H2S2Q",2,2020-12-11 13:21:23.3670000,0,4396,300,2020-12-15 00:15:52.2970000,43.701550,-116.746810
2141112,"Underkoflers Corner",3573,233,"11T","11T2H2S2Q",2,2014-02-01 23:59:18.2170000,0,2191106,2100,2020-12-15 00:16:00.9070000,43.619050,-116.672640
2139944,"Karcher Junction",3573,233,"11T","11T2H2S2Q",2,2014-01-18 15:22:47.8030000,0,653749,3900,2020-12-15 00:16:20.0470000,43.585990,-116.602910
2138944,"Hillcrest",3573,233,"11T","11T2H2S2Q",2,2014-04-24 04:00:37.6570000,0,1404133,1200,2020-12-15 00:17:06.7700000,43.563500,-116.182890
2141193,"Garden City",3573,233,"11T","11T2H2S2Q",2,2014-03-13 15:41:49.6770000,0,754916,900,2020-12-15 00:17:21.4070000,43.622110,-116.238170
2142522,"Collister",3573,233,"11T","11T2H2S2Q",2,2014-04-18 00:16:55.5030000,0,1570113,600,2020-12-15 00:17:29.6300000,43.658220,-116.248180
2141656,"Ustick",3573,233,"11T","11T2H2S2Q",2,2014-05-09 21:45:46.8970000,0,1781621,600,2020-12-15 00:17:35.3330000,43.633500,-116.321790
2378504,"Malomerice",688,56,"33U","33U2H6S1Q",1,2015-06-26 17:14:32.2000000,1103725,0,0,2020-12-15 00:18:30.1100000,49.222190,16.658190
2377870,"Husovice",688,56,"33U","33U2H6S1Q",1,2015-05-29 13:58:01.4000000,1219916,0,0,2020-12-15 00:18:46.6900000,49.211320,16.630900
2323420,"Somers",3574,233,"11U","11U2H6S4Q",2,2013-06-29 18:10:57.8930000,1200,640516,56853,2020-12-15 00:19:02.6900000,48.080230,-114.221510
2090390,"Westford",3583,233,"19T","19T2H1S3Q",3,2018-05-24 01:47:45.9400000,0,0,1157151,2020-12-15 00:19:47.3500000,42.579260,-71.437840
2245945,"Eureka",3578,233,"11T","11T1H1S4Q",2,2018-11-17 07:37:26.6970000,0,158606,4820,2020-12-15 00:20:11.4230000,46.303190,-118.616650
1653074,"Happy Jack",3572,233,"12S","12S2H2S3Q",1,2020-12-15 00:20:12.2200000,1152,0,0,2020-12-15 00:20:12.2200000,34.743350,-111.407370
2069771,"West Sumpter",3557,233,"17T","17T2H1S3Q",1,2016-03-07 01:28:31.1670000,4007319,0,662,2020-12-15 00:20:14.8200000,42.122540,-83.509380
2376431,"Oldrichovice",700,56,"33U","33U2H6S2Q",1,2020-12-15 00:20:20.7030000,2315,0,0,2020-12-15 00:20:24.2800000,49.181770,17.561340
2070677,"Martinsville",3557,233,"17T","17T2H1S3Q",1,2016-02-22 01:46:19.0800000,4006679,0,1748,2020-12-15 00:20:26.9270000,42.144760,-83.460490
2374459,"Lapac",700,56,"33U","33U2H6S2Q",1,2020-12-15 00:21:15.5870000,307,0,0,2020-12-15 00:21:15.5870000,49.133330,17.600000
1829175,"Barrett",3567,233,"10S","10S1H6S2Q",3,2018-04-15 00:25:42.6700000,0,0,172818,2020-12-15 00:21:17.0400000,37.639930,-120.285750
1934548,"Carroll Meadows",3542,233,"18S","18S1H1S2Q",1,2020-12-15 00:21:27.9130000,517,0,401,2020-12-15 00:21:27.9130000,39.579820,-76.979430
1935234,"Sullivan Heights",3542,233,"18S","18S1H1S2Q",1,2020-12-15 00:21:33.2530000,517,0,216,2020-12-15 00:21:33.2530000,39.590100,-76.990540
1935469,"Autumn Ridge",3542,233,"18S","18S1H1S2Q",1,2020-12-15 00:21:37.5030000,894,0,0,2020-12-15 00:21:37.5030000,39.595100,-76.991090
2830083,"Kirpisto",925,70,"35W","35W2H6S2Q",2,2013-07-16 16:20:43.8500000,0,1414483,29400,2020-12-15 00:22:04.9200000,66.000000,29.566670
2374460,"Pradlisko",700,56,"33U","33U2H6S2Q",1,2020-12-14 05:34:26.5970000,2347,0,0,2020-12-15 00:22:11.9300000,49.133330,17.733330
1568126,"Hollywood",3551,233,"16S","16S2H5S2Q",3,2020-12-15 00:25:14.0630000,0,980,4953,2020-12-15 00:25:17.4270000,33.472880,-86.783040
1381475,"Fairway Park",3549,233,"15R","15R1H4S1Q",1,2013-12-24 05:58:24.6300000,1121129,517,0,2020-12-15 00:26:25.1900000,29.810100,-95.467600
12856,"Ryde",143,13,"56H","56H1H1S4Q",3,2017-03-26 20:36:27.3070000,0,0,1042947,2020-12-15 00:28:31.6630000,-33.816670,151.100000
12894,"Eastwood",143,13,"56H","56H1H1S4Q",3,2016-10-09 03:20:07.7770000,0,0,1030308,2020-12-15 00:28:37.6170000,-33.800000,151.083330
12820,"Hunter's Hill",143,13,"56H","56H1H1S4Q",3,2017-03-27 04:38:27.9900000,0,0,1579208,2020-12-15 00:28:50.4270000,-33.816700,151.133000
12857,"Lane Cove",143,13,"56H","56H1H1S4Q",3,2017-03-30 21:10:59.4900000,0,0,1001590,2020-12-15 00:28:55.9070000,-33.816670,151.166670
12810,"Northwood",143,13,"56H","56H1H1S4Q",3,2017-03-15 19:42:38.3130000,0,0,1031091,2020-12-15 00:29:02.8570000,-33.828610,151.180830
12806,"North Sydney",143,13,"56H","56H1H1S4Q",3,2017-03-15 10:55:52.9900000,0,0,1014136,2020-12-15 00:29:08.2830000,-33.833300,151.200000
12755,"Neutral Bay",143,13,"56H","56H1H1S4Q",3,2017-03-15 06:05:05.1800000,0,0,1020235,2020-12-15 00:29:14.2130000,-33.838890,151.216670
1908511,"Garden Acres",3555,233,"16S","16S1H2S2Q",2,2013-08-28 17:26:15.9500000,0,10750478,0,2020-12-15 00:29:50.4930000,39.124490,-86.578050
2236901,"Garrett",3578,233,"11T","11T1H1S4Q",3,2020-12-15 00:30:27.2970000,0,0,928,2020-12-15 00:30:27.2970000,46.052080,-118.402750
2081558,"Hamtramck",3557,233,"17T","17T2H1S3Q",1,2013-11-28 06:26:49.0730000,4185747,0,0,2020-12-15 00:32:32.5200000,42.392820,-83.049640
2082214,"Highland Park",3557,233,"17T","17T2H1S3Q",1,2016-03-06 00:37:37.6330000,3104775,0,0,2020-12-15 00:32:36.8800000,42.405590,-83.096870
2085683,"Warren",3557,233,"17T","17T2H1S3Q",1,2013-11-28 04:52:37.6670000,3081894,0,0,2020-12-15 00:32:41.4900000,42.477540,-83.027700
2086105,"Center Line",3557,233,"17T","17T2H1S3Q",1,2013-11-19 14:31:56.2230000,3094862,0,0,2020-12-15 00:32:45.6300000,42.485040,-83.027700
2092559,"Utica",3557,233,"17T","17T2H1S3Q",1,2013-09-25 16:34:42.9330000,12207999,0,0,2020-12-15 00:32:56.7800000,42.626140,-83.033540
1892776,"Catlett",3567,233,"10S","10S1H3S3Q",2,2012-09-21 13:29:00.7830000,0,2894603,0,2020-12-15 00:34:05.9330000,38.845180,-121.538570
2114833,"Cottage Grove",3566,233,"16T","16T2H1S1Q",1,2020-12-15 00:34:11.3570000,1117,0,0,2020-12-15 00:34:11.3570000,43.076110,-89.199560
2115494,"Taylors Corners",3566,233,"16T","16T2H1S1Q",1,2020-12-15 00:34:15.0370000,1117,0,0,2020-12-15 00:34:15.0370000,43.086940,-89.199560
2118008,"Pierceville",3566,233,"16T","16T2H1S1Q",1,2020-12-15 00:34:20.1570000,1113,0,0,2020-12-15 00:34:20.1570000,43.135830,-89.153170
2156668,"Newmarket",457,38,"17T","17T1H6S3Q",3,2013-09-28 16:21:14.5970000,0,0,3107303,2020-12-15 00:38:46.4830000,44.050110,-79.466310
1932629,"Ridgedale",3550,233,"17S","17S1H3S1Q",2,2018-10-02 10:33:33.0330000,0,137061,0,2020-12-15 00:40:37.4300000,39.547030,-79.935620
2001422,"San Juan Hill",3562,233,"18T","18T2H6S3Q",3,2013-06-17 15:10:29.8670000,0,0,999474,2020-12-15 00:41:07.9200000,40.767320,-73.984310
2378210,"Zelechovice nad Drevnici",700,56,"33U","33U2H6S2Q",1,2020-12-14 23:48:51.5900000,5008,0,0,2020-12-15 00:41:40.6300000,49.216670,17.750000
1694391,"Coulterville",3548,233,"16S","16S2H3S1Q",3,2019-02-16 03:25:00.7700000,0,0,43949,2020-12-15 00:43:33.0270000,35.410070,-85.104960
1692900,"Sale Creek",3548,233,"16S","16S2H3S1Q",3,2019-02-16 03:24:54.9100000,0,0,79409,2020-12-15 00:43:39.3200000,35.382290,-85.108840
1692043,"Hodgetown",3548,233,"16S","16S2H3S1Q",3,2019-02-16 03:24:49.4600000,0,0,34935,2020-12-15 00:43:45.9030000,35.365900,-85.126350
1690906,"Bakewell",3548,233,"16S","16S2H3S1Q",3,2019-02-16 03:24:41.9900000,0,0,60093,2020-12-15 00:43:52.7400000,35.343400,-85.133010
1593864,"Milford",3539,233,"16S","16S2H6S2Q",1,2020-10-13 03:35:16.1400000,471624,0,0,2020-12-15 00:44:20.0470000,33.880940,-84.597710
1989640,"Dorseyville",3584,233,"17T","17T2H6S3Q",3,2020-12-15 00:45:05.8000000,0,706,1086,2020-12-15 00:45:05.8000000,40.577010,-79.888660
2019481,"Valhalla",3562,233,"18T","18T2H6S1Q",1,2020-07-10 08:58:20.4900000,64197,0,0,2020-12-15 00:45:13.2430000,41.074820,-73.775130
1992324,"Magill Heights",3584,233,"17T","17T2H6S3Q",3,2013-10-16 01:55:54.6300000,0,0,340804,2020-12-15 00:45:15.3700000,40.620900,-79.860330
1991509,"Russellton",3584,233,"17T","17T2H6S3Q",3,2016-03-29 18:28:05.7500000,0,0,42701,2020-12-15 00:45:22.1270000,40.607960,-79.840080
2212486,"Bonnie Glen",3558,233,"15T","15T1H5S2Q",1,2016-11-08 20:54:27.3470000,1595628,0,0,2020-12-15 00:45:25.6230000,45.358850,-92.903830
1989614,"Glassmere",3584,233,"17T","17T2H6S3Q",3,2020-12-15 00:45:29.7030000,0,399,872,2020-12-15 00:45:29.7030000,40.576460,-79.780330
1989321,"New Kensington",3584,233,"17T","17T2H6S3Q",2,2020-08-25 16:40:52.9030000,0,960,517,2020-12-15 00:45:34.6030000,40.569790,-79.764770
1988439,"Lower Burrell",3584,233,"17T","17T2H6S3Q",3,2020-12-15 00:45:45.4170000,0,0,1393,2020-12-15 00:45:45.4170000,40.553120,-79.757270
2389464,"Burov",700,56,"34U","34U2H4S1Q",1,2018-02-02 22:19:06.1770000,2102,0,0,2020-12-15 00:47:13.5100000,49.466670,18.250000
2386912,"Valasska Bystrice",700,56,"34U","34U2H4S1Q",1,2019-11-09 13:41:18.8030000,1494,0,0,2020-12-15 00:47:29.6300000,49.415070,18.109770
1385218,"Pinevillage North",3549,233,"15R","15R1H4S1Q",2,2020-12-15 00:47:41.8530000,0,1060,0,2020-12-15 00:47:41.8530000,29.901600,-95.308300
1583353,"Roseland",3539,233,"16S","16S2H6S2Q",1,2019-12-19 16:52:07.3070000,39067,0,0,2020-12-15 00:48:21.8400000,33.715940,-84.378820
2523651,"Tolin",2440,180,"34U","34U1H5S4Q",2,2020-12-07 01:14:43.7730000,0,223501,0,2020-12-15 00:49:14.3430000,52.128720,21.272020
1368522,"Terrell Hills",3549,233,"14R","14R1H5S2Q",3,2013-01-21 18:31:50.7530000,0,0,3931018,2020-12-15 00:50:11.1830000,29.474950,-98.450850
